,index,Argument,positive,neutral,negative,total,relative_total
0,6,Growth,2621,100,404,3125,0.12563319128407172
1,7,Revenue,2102,272,593,2967,0.11928117713274905
2,5,Market Share,938,47,189,1174,0.047197877301600064
3,8,Margins,850,104,549,1503,0.060424539679987135
4,11,Investments,615,140,169,924,0.037147221998874325
5,0,Technology Trends,554,29,54,637,0.02560906971134518
6,1,Market Expansion,526,20,55,601,0.024161775347752674
7,13,Earnings per Share,452,127,123,702,0.028222240090053873
8,15,Cost Management,447,77,354,878,0.03529790142317279
9,40,Customer,424,45,71,540,0.021709415453887593
10,3,Innovation,414,11,26,451,0.018131382166117233
11,9,Market Conditions,394,172,550,1116,0.04486612527136769
12,36,Financial Performance,369,53,175,597,0.024000964862909063
13,12,Cash Flow,368,48,132,548,0.022031036423574818
14,46,Earnings,288,66,146,500,0.020101310605451474
15,16,Research and Development,282,33,33,348,0.013990512181394226
16,23,Shares Repurchase,254,40,26,320,0.012864838787488944
17,22,Balance Sheet,202,53,53,308,0.012382407332958109
18,17,Marketing,198,26,68,292,0.011739165393583662
19,34,Mergers and Acquisition,185,43,65,293,0.011779368014794565
20,2,Partnerships and Collaborations,164,2,9,175,0.0070354587119080166
21,21,Dividend Policy,163,28,54,245,0.009849642196671223
22,18,Leadership,154,18,65,237,0.009528021226983999
23,4,Competition,141,60,591,792,0.03184047599903514
24,35,E-commerce,131,14,28,173,0.00695505346948621
25,67,Earnings Forecast,130,80,129,339,0.0136286885904961
26,26,Supply Chain,98,11,103,212,0.008522955696711425
27,49,Processes,90,4,8,102,0.004100667363512101
28,25,Valuation,87,210,117,414,0.016643885181313822
29,45,Product Strategy,79,8,15,102,0.004100667363512101
30,31,Product Characteristics,78,8,4,90,0.0036182359089812657
31,38,Return On Equity,76,23,22,121,0.004864517166519257
32,30,Risk Management,75,27,231,333,0.013387472863230682
33,41,Industry Outlook,71,12,16,99,0.003980059499879392
34,10,Long-term Growth,66,9,5,80,0.003216209696872236
35,53,Product Performance,64,4,16,84,0.0033770201817158478
36,39,Profitability,63,6,31,100,0.004020262121090295
37,32,Employees,60,31,59,150,0.006030393181635443
38,20,Regulations,59,44,260,363,0.014593551499557772
39,19,Economic Conditions,55,31,125,211,0.008482753075500523
40,37,Production,55,17,38,110,0.004422288333199325
41,43,Inventory Management,54,20,47,121,0.004864517166519257
42,29,Global Presence,53,2,21,76,0.003055399212028624
43,48,Operations,52,10,20,82,0.003296614939294042
44,103,Clinical Trials,49,13,12,74,0.0029749939696068184
45,57,Stock Performance,46,8,42,96,0.0038594516362466832
46,27,Demand,45,15,44,104,0.004181072605933907
47,28,Pricing Strategy,43,14,14,71,0.0028543861059741097
48,24,Price/Earnings Ratio,42,59,31,132,0.00530674599983919
49,115,Sustainability,38,0,6,44,0.0017689153332797298
50,56,Taxes,36,35,59,130,0.0052263407574173835
51,44,Sales Performance,34,12,46,92,0.0036986411514030714
52,65,Stock Recommendation,33,16,12,61,0.00245235989386508
53,50,Stock Price,24,7,28,59,0.0023719546514432742
54,55,Guidance,24,16,14,54,0.0021709415453887593
55,96,Efficacy,24,5,2,31,0.0012462812575379915
56,191,Price/Mix Strategy,22,6,6,34,0.0013668891211707002
57,97,Safety,22,1,4,27,0.0010854707726943797
58,105,Operating Leverage,21,1,11,33,0.0013266864999597974
59,66,Synergies,17,4,0,21,0.0008442550454289619
60,106,Investment Banking,16,1,3,20,0.000804052424218059
61,70,Marketplace,14,1,2,17,0.0006834445605853501
62,72,Refranchising,14,0,2,16,0.0006432419393744472
63,234,Market Performance,13,0,11,24,0.0009648629090616708
64,114,Risk/Reward,13,1,4,18,0.0007236471817962531
65,51,Market Cap,12,13,7,32,0.0012864838787488943
66,59,Stock Ownership,12,1,1,14,0.0005628366969526413
67,42,Debt,10,20,96,126,0.005065530272573772
68,124,Credit Quality,10,1,7,18,0.0007236471817962531
69,209,Data Analytics,10,0,0,10,0.0004020262121090295
70,98,Divestment,9,1,1,11,0.00044222883331993245
71,104,Loan Portfolio,8,12,22,42,0.0016885100908579239
72,131,Oil Prices,7,2,7,16,0.0006432419393744472
73,52,Backlog,7,0,1,8,0.0003216209696872236
74,227,Exploration,7,0,0,7,0.00028141834847632063
75,117,Execution,6,2,12,20,0.000804052424218059
76,140,Loan Loss Reserves,6,1,6,13,0.0005226340757417384
77,138,Restructuring,6,0,2,8,0.0003216209696872236
78,122,Trading,6,0,1,7,0.00028141834847632063
79,173,Franchising,6,1,0,7,0.00028141834847632063
80,102,Quality Management,6,0,0,6,0.0002412157272654177
81,89,Data Protection,5,0,5,10,0.0004020262121090295
82,58,Executive Compensation,5,1,2,8,0.0003216209696872236
83,69,Performance,5,1,2,8,0.0003216209696872236
84,109,Debt Underwriting,5,0,2,7,0.00028141834847632063
85,108,Equity Underwriting,5,0,1,6,0.0002412157272654177
86,47,Currency,4,10,87,101,0.004060464742301198
87,228,Commodities,4,0,10,14,0.0005628366969526413
88,95,Sentiment,4,2,7,13,0.0005226340757417384
89,172,Commodity Prices,4,1,6,11,0.00044222883331993245
90,107,Sales & Trading,4,1,2,7,0.00028141834847632063
91,61,Quality,4,0,2,6,0.0002412157272654177
92,211,Corporate Governance,4,0,2,6,0.0002412157272654177
93,54,Geographic Expansion,4,0,1,5,0.00020101310605451475
94,62,Value Investing,4,0,1,5,0.00020101310605451475
95,100,Business Transformation,4,0,0,4,0.0001608104848436118
96,141,Financial Position,4,0,0,4,0.0001608104848436118
97,182,Value Creation,4,0,0,4,0.0001608104848436118
98,241,Earnings Catalysts,4,0,0,4,0.0001608104848436118
99,159,Market Expectations,3,3,6,12,0.0004824314545308354
100,232,COVID Impact,3,0,6,9,0.00036182359089812654
101,164,Deposits,3,1,2,6,0.0002412157272654177
102,121,Commercial Banking,3,0,2,5,0.00020101310605451475
103,192,Operating Performance,3,0,1,4,0.0001608104848436118
104,94,Market Data,3,1,0,4,0.0001608104848436118
105,212,Deposit Growth,3,1,0,4,0.0001608104848436118
106,219,Holiday Sales,3,1,0,4,0.0001608104848436118
107,33,Seasonality,2,9,27,38,0.001527699606014312
108,99,Leverage,2,16,5,23,0.0009246602878507679
109,146,Health Impact,2,2,4,8,0.0003216209696872236
110,134,Pipeline,2,0,3,5,0.00020101310605451475
111,170,Financial Impact,2,1,2,5,0.00020101310605451475
112,252,Credit Risk,2,1,2,5,0.00020101310605451475
113,75,Risks,1,1,35,37,0.0014874969848034092
114,169,Litigation,1,0,8,9,0.00036182359089812654
115,74,Stock-Based Compensation,1,3,4,8,0.0003216209696872236
116,116,Visibility,1,1,4,6,0.0002412157272654177
117,152,Engagement,1,0,4,5,0.00020101310605451475
118,113,Shares Outstanding,1,12,2,15,0.0006030393181635442
119,71,Geopolitical Risk,0,2,22,24,0.0009648629090616708
120,90,Operational Issues,0,0,8,8,0.0003216209696872236
121,129,Loan Demand,0,1,5,6,0.0002412157272654177
122,155,Stock Dilution,0,0,4,4,0.0001608104848436118
123,250,Execution Risk,0,0,4,4,0.0001608104848436118
124,148,Earnings Risk,0,1,3,4,0.0001608104848436118
